Trying to paint food in: (10,30)Current head: (10,15)
New head: (10,16)Removed tail: (10,13)Current head: (10,16)
New head: (10,17)Removed tail: (10,14)Current head: (10,17)
New head: (10,18)Removed tail: (10,15)Current head: (10,18)
New head: (10,19)Removed tail: (10,16)Current head: (10,19)
New head: (10,20)Removed tail: (10,17)Current head: (10,20)
New head: (10,21)Removed tail: (10,18)Current head: (10,21)
New head: (10,22)Removed tail: (10,19)Current head: (10,22)
New head: (10,23)Removed tail: (10,20)Current head: (10,23)
New head: (10,24)Removed tail: (10,21)Current head: (10,24)
New head: (10,25)Removed tail: (10,22)Current head: (10,25)
New head: (10,26)Removed tail: (10,23)Current head: (10,26)
New head: (10,27)Removed tail: (10,24)Current head: (10,27)
New head: (10,28)Removed tail: (10,25)Current head: (10,28)
New head: (10,29)Removed tail: (10,26)Current head: (10,29)
New head: (10,30)Current head: (10,30)
New head: (9,30)Removed tail: (10,27)Current head: (9,30)
New head: (8,30)Removed tail: (10,28)Current head: (8,30)
New head: (7,30)Removed tail: (10,29)Current head: (7,30)
New head: (7,29)Removed tail: (10,30)Current head: (7,29)
New head: (7,28)Removed tail: (9,30)Current head: (7,28)
New head: (8,28)Removed tail: (8,30)Current head: (8,28)
New head: (9,28)Removed tail: (7,30)Current head: (9,28)
New head: (10,28)Removed tail: (7,29)Current head: (10,28)
New head: (10,27)Removed tail: (7,28)Current head: (10,27)
New head: (10,26)Removed tail: (8,28)Current head: (10,26)
New head: (11,26)Removed tail: (9,28)Current head: (11,26)
New head: (12,26)Removed tail: (10,28)Current head: (12,26)
New head: (12,25)Removed tail: (10,27)Current head: (12,25)
New head: (12,24)Removed tail: (10,26)Current head: (12,24)
New head: (13,24)Removed tail: (11,26)Current head: (13,24)
New head: (14,24)Removed tail: (12,26)Current head: (14,24)
New head: (14,23)Removed tail: (12,25)Current head: (14,23)
New head: (15,23)Removed tail: (12,24)Current head: (15,23)
New head: (16,23)Removed tail: (13,24)Current head: (16,23)
New head: (16,22)Removed tail: (14,24)Current head: (16,22)
New head: (16,21)Removed tail: (14,23)Current head: (16,21)
New head: (16,20)Removed tail: (15,23)Current head: (16,20)
New head: (15,20)Removed tail: (16,23)Current head: (15,20)
New head: (15,19)Removed tail: (16,22)Current head: (15,19)
New head: (15,18)Removed tail: (16,21)Current head: (15,18)
New head: (15,17)Removed tail: (16,20)Current head: (15,17)
